data,uf,canal,categoria,segmento,produto,quantidade,receita,custo,lucro
2023-01-01 00:00:00.000000000,BA,Online,Acessórios,Corporativo,Produto_40,1,213.301.690.492.487,15.154.304.473.707.400,6.175.864.575.541.280
2023-01-01 07:00:38.895558223,BA,Loja Física,Acessórios,Corporativo,Produto_27,13,1.881.207.917.177.890,15.735.396.787.104.700,30.766.823.846.742.400
2023-01-01 07:00:38.895558223,BA,Online,Eletrônicos,Distribuidor,Produto_108,1,6.664.174.759.238.210,4.833.182.877.045.840,18.309.918.821.923.700
2023-01-01 14:01:17.791116446,PR,Online,Informática,Corporativo,Produto_51,9,66.165.340.246.804.400,5.587.961.806.298.990,1.028.572.218.381.440
2023-01-02 18:03:53.373349339,MG,Marketplace,Informática,Corporativo,Produto_3,2,4.544.174.036.035.540,2.797.938.768.822.210,17.462.352.672.133.300
2023-01-03 01:04:32.268907563,MG,Marketplace,Informática,Varejo,Produto_29,5,5.108.425.035.549.410,3.633.207.042.827.720,14.752.179.927.216.800
2023-01-03 01:04:32.268907563,BA,Marketplace,Acessórios,Varejo,Produto_100,11,5.613.634.159.844.250,35.062.794.611.730.000,21.073.546.986.712.500
2023-01-03 15:05:50.060024009,MG,Marketplace,Informática,Varejo,Produto_83,6,1.041.522.286.898.450,5.779.448.826.421.400,4.635.774.042.563.170
2023-01-03 15:05:50.060024009,PR,Marketplace,Informática,Varejo,Produto_55,12,2.194.127.362.115.880,13.316.033.654.196.200,862.523.996.696.261
2023-01-03 15:05:50.060024009,SP,Loja Física,Acessórios,Varejo,Produto_52,7,2.877.299.496.956.720,17.686.929.600.801.900,11.086.065.368.765.300
2023-01-04 05:07:07.851140456,MG,Marketplace,Móveis,Varejo,Produto_4,7,12.502.409.547.944.600,7.677.046.760.641.380,4.825.362.787.303.240
2023-01-04 05:07:07.851140456,MG,Loja Física,Serviços,Corporativo,Produto_82,4,8.484.304.780.562.850,4.788.351.169.151.470,36.959.536.114.113.800
2023-01-04 19:08:25.642256902,ES,Online,Serviços,Corporativo,Produto_15,12,1.682.975.184.969.150,11.255.289.443.888.900,5.574.462.405.802.670
2023-01-05 16:10:22.328931572,RS,Loja Física,Informática,Distribuidor,Produto_98,4,11.992.900.158.366.500,8.581.763.950.309.600,34.111.362.080.569.000
2023-01-06 06:11:40.120048019,PR,Loja Física,Eletrônicos,Distribuidor,Produto_23,11,1.232.849.746.947.700,9.893.763.827.190.990,24.347.336.422.860.700
2023-01-06 06:11:40.120048019,SC,Marketplace,Eletrônicos,Corporativo,Produto_86,13,2.991.705.304.441.010,2.064.271.468.007.760,9.274.338.364.332.480
2023-01-06 06:11:40.120048019,MG,Representante,Informática,Distribuidor,Produto_4,9,376.942.493.248.302,2.263.820.875.011.220,1.505.604.057.471.790
2023-01-06 06:11:40.120048019,ES,Representante,Serviços,Corporativo,Produto_113,10,9.210.815.903.290.260,6.600.913.760.002.330,26.099.021.432.879.300
2023-01-06 06:11:40.120048019,RS,Representante,Serviços,Distribuidor,Produto_64,5,8.503.591.228.274.920,6.335.573.996.255.270,2.168.017.232.019.640
2023-01-06 20:12:57.911164465,BA,Representante,Acessórios,Varejo,Produto_71,1,16.093.532.359.477.300,11.899.345.290.578.200,41.941.870.688.991.100
2023-01-07 03:13:36.806722689,PR,Marketplace,Acessórios,Distribuidor,Produto_73,13,472.736.402.023.705,320.337.790.806.931,152.398.611.216.774
2023-01-07 03:13:36.806722689,RS,Marketplace,Móveis,Corporativo,Produto_36,3,1.634.245.490.272.710,12.692.913.430.797.700,3.649.541.471.929.370
2023-01-07 10:14:15.702280912,MG,Representante,Eletrônicos,Corporativo,Produto_94,1,1.349.315.252.370.600,9.551.163.044.839.740,39.419.894.788.662.900
2023-01-07 10:14:15.702280912,SP,Representante,Eletrônicos,Varejo,Produto_1,6,7.187.120.150.742.910,4.225.925.660.352.530,29.611.944.903.903.700
2023-01-08 00:15:33.493397359,BA,Representante,Móveis,Corporativo,Produto_90,4,5.259.063.892.285.750,36.467.335.807.472.100,16.123.303.115.385.400
2023-01-08 00:15:33.493397359,MG,Representante,Eletrônicos,Varejo,Produto_77,12,17.473.080.683.020.100,10.201.020.473.638.200,7.272.060.209.381.850
2023-01-08 07:16:12.388955582,SP,Loja Física,Informática,Distribuidor,Produto_30,6,8.680.866.529.985.040,7.279.111.566.792.600,14.017.549.631.924.300
